date_year,date_month,date_day,latitude,longitude,country_region,province_state,confirmed_diff,deaths_diff,recovered_diff
2021,5,25,50.0547,5.4677,Belgium,Luxembourg,40,0,0
2021,5,26,50.331,4.8221,Belgium,Namur,93,0,0
2021,5,26,50.8503,4.3517,Belgium,Brussels,225,0,0
2021,5,26,50.4,4.35,Belgium,Walloon Brabant,75,0,0
2021,5,26,51.2195,4.4024,Belgium,Antwerp,234,0,0
2021,5,26,51.0362,3.7373,Belgium,East Flanders,216,0,0
2021,5,26,51.0536,3.1458,Belgium,West Flanders,204,0,0
2021,5,26,,,Belgium,Unknown,43,16,0
2021,5,26,50.5257,4.0621,Belgium,Hainaut,229,0,0
2021,5,26,50.9739,5.3420000000000005,Belgium,Limburg,156,0,0
2021,5,26,50.0547,5.4677,Belgium,Luxembourg,64,0,0
2021,5,26,50.9167,4.5833,Belgium,Flemish Brabant,156,0,0
2021,5,26,50.4496,5.8492,Belgium,Liege,280,0,0
2021,5,27,50.9739,5.3420000000000005,Belgium,Limburg,180,0,0
2021,5,27,50.8503,4.3517,Belgium,Brussels,343,0,0
2021,5,27,51.0362,3.7373,Belgium,East Flanders,298,0,0
2021,5,27,51.2195,4.4024,Belgium,Antwerp,358,0,0
2021,5,27,50.0547,5.4677,Belgium,Luxembourg,61,0,0
2021,5,27,50.4496,5.8492,Belgium,Liege,360,0,0
2021,5,27,50.9167,4.5833,Belgium,Flemish Brabant,228,0,0
2021,5,27,,,Belgium,Unknown,78,13,0
2021,5,27,50.4,4.35,Belgium,Walloon Brabant,145,0,0
2021,5,27,51.0536,3.1458,Belgium,West Flanders,234,0,0
2021,5,27,50.5257,4.0621,Belgium,Hainaut,509,0,0
2021,5,27,50.331,4.8221,Belgium,Namur,97,0,0
2021,5,28,50.9167,4.5833,Belgium,Flemish Brabant,168,0,0
2021,5,28,51.2195,4.4024,Belgium,Antwerp,350,0,0
2021,5,28,50.9739,5.3420000000000005,Belgium,Limburg,142,0,0
2021,5,28,50.8503,4.3517,Belgium,Brussels,297,0,0
2021,5,28,50.4,4.35,Belgium,Walloon Brabant,141,0,0
2021,5,28,51.0536,3.1458,Belgium,West Flanders,158,0,0
